브랜드,모델명,세부모델명,차종,트림명,가격,전장,전폭,전고,축거,윤거 (전),윤거 (후),오버행 (전),오버행 (후),차음 유리,자외선 차단유리,엔진형식,배기량,최고출력,최대토크,최고속도,제로백,친환경,연료,연료탱크,CO₂ 배출,배터리 용량,배터리 전압,배터리 제조사,배터리 종류,충전방식 (급속),충전방식 (완속),충전시간 (급속),충전시간 (완속),에너지소비효율,복합연비,고속연비,도심연비,복합전비,고속전비,도심전비,복합 주행거리,고속 주행거리,도심 주행거리,정속주행,변속기,굴림방식,브레이크 (전),브레이크 (후),서스펜션 (전),서스펜션 (후),타이어 (전),타이어 (후),휠 (전),휠 (후),주차보조,주행안전,보행자 안전,공회전 제한장치,에어백,도어포켓 라이트,엠비언트 라이트,룸미러,헤드램프,헤드램프 부가기능,주간 주행등,리어 램프,전방 안개등,아웃 사이드미러,주요기능,승차정원,시트배열,시트재질,동승석,운전석,뒷좌석 송풍구,뒷좌석 측면커튼,뒷좌석 후면커튼,계기판,스티어링 휠,화면크기,사운드시스템,스피커,적재량,적재함 길이,적재함 너비,적재함 높이,트렁크,트렁크 (전) 용량,트렁크 (후) 용량,에어컨,엔진시동,와이퍼,파워 아웃렛,온도조절 범위,루프,주차 브레이크,부가기능
기아,K5,2024년형 LPG 2.0 (렌터카/장애인용),중형,렌터카 트렌디 (A/T),24350000,"4,905 mm","1,860 mm","1,445 mm","2,850 mm","1,633 mm","1,640 mm",,,,,직렬 4기통,1999.0,"146/6,000 ps/rpm","19.5/4,200 kg.m/rpm",,,저공해 3종,LPG,,134.0,,,,,,,,,4 등급,9.7,11.7,8.5,,,,,,,CC (정속 주행),자동 6단,FF,,,,,205/65R,205/65R,16 인치,16 인치,"전방감지 ,
후방감지 ,
후방카메라","ABS ,
전방 추돌 경고 ,
전방 자동 긴급제동 ,
차선 이탈 경고 ,
경사로 밀림 방지 ,
부주의 운전 경보 ,
타이어 공기압 경고 ,
차선 이탈 방지 보조",보행자 인식 긴급제동,,"운전석 ,
동승석 ,
운전석 무릎 ,
사이드 (앞) ,
사이드 (뒤) ,
커튼",,,,LED,"오토 라이트 컨트롤 ,
오토 하이빔",LED,벌브형,,"전동접이 ,
전동조절 ,
열선 ,
방향지시등","내비게이션 ,
라디오 ,
DMB 수신 ,
텔레매틱스 ,
오디오 파일 재생 ,
블루투스",5.0,2 + 3,인조가죽,열선,열선,2열,,,디지털,"틸트 ,
텔레스코픽",12.3 인치,,6.0,,,,,스마트 트렁크,,,수동 온도조절,"버튼시동 ,
원격시동",,"12V 파워 아울렛 ,
USB",,,페달식,"터치스크린 ,
음성인식 ,
애플 카플레이 ,
안드로이드 오토"
기아,K5,2024년형 LPG 2.0 (렌터카/장애인용),중형,렌터카 프레스티지 (A/T),27150000,"4,905 mm","1,860 mm","1,445 mm","2,850 mm","1,623 mm","1,630 mm",,,,,직렬 4기통,1999.0,"146/6,000 ps/rpm","19.5/4,200 kg.m/rpm",,,저공해 3종,LPG,,133.0,,,,,,,,,4 등급,9.8,11.8,8.5,,,,,,,CC (정속 주행),자동 6단,FF,,,,,215/55R,215/55R,17 인치,17 인치,"전방감지 ,
후방감지 ,
후방카메라","ABS ,
전방 추돌 경고 ,
전방 자동 긴급제동 ,
차선 이탈 경고 ,
경사로 밀림 방지 ,
부주의 운전 경보 ,
타이어 공기압 경고 ,
차선 이탈 방지 보조",보행자 인식 긴급제동,,"운전석 ,
동승석 ,
운전석 무릎 ,
사이드 (앞) ,
사이드 (뒤) ,
커튼",,,"자동디밍 ,
하이패스 내장",LED,"오토 라이트 컨트롤 ,
오토 하이빔",LED,LED,,"전동접이 ,
전동조절 ,
열선 ,
방향지시등","내비게이션 ,
라디오 ,
DMB 수신 ,
텔레매틱스 ,
오디오 파일 재생 ,
블루투스",5.0,2 + 3,인조가죽,"열선 ,
통풍","열선 ,
통풍 ,
전동조절 ,
요추받침",2열,,,디지털,"가죽 ,
열선 ,
틸트 ,
텔레스코픽 ,
진동 위험 경고",12.3 인치,,6.0,,,,,스마트 트렁크,,,수동 온도조절,"버튼시동 ,
원격시동",,"12V 파워 아울렛 ,
USB",,,페달식,"터치스크린 ,
음성인식 ,
애플 카플레이 ,
안드로이드 오토"
기아,K5,2024년형 LPG 2.0 (렌터카/장애인용),중형,장애인용 프레스티지 왼손왼발장애 (A/T),27130000,"4,905 mm","1,860 mm","1,445 mm","2,850 mm","1,623 mm","1,630 mm",,,"앞면 ,
앞좌석",,직렬 4기통,1999.0,"146/6,000 ps/rpm","19.5/4,200 kg.m/rpm",,,저공해 3종,LPG,,133.0,,,,,,,,,4 등급,9.8,11.8,8.5,,,,,,,CC (정속 주행),자동 6단,FF,,,,,215/55R,215/55R,17 인치,17 인치,"전방감지 ,
후방감지 ,
후방카메라","ABS ,
전방 추돌 경고 ,
전방 자동 긴급제동 ,
차선 이탈 경고 ,
경사로 밀림 방지 ,
부주의 운전 경보 ,
타이어 공기압 경고 ,
차선 이탈 방지 보조",보행자 인식 긴급제동,,"운전석 ,
동승석 ,
운전석 무릎 ,
사이드 (앞) ,
사이드 (뒤) ,
커튼",,,자동디밍,LED,"오토 라이트 컨트롤 ,
오토 하이빔",LED,벌브형,,"전동접이 ,
전동조절 ,
열선 ,
방향지시등","내비게이션 ,
라디오 ,
DMB 수신 ,
텔레매틱스 ,
오디오 파일 재생 ,
블루투스",5.0,2 + 3,인조가죽,"열선 ,
통풍","열선 ,
통풍",2열,,,디지털,"틸트 ,
텔레스코픽",12.3 인치,,6.0,,,,,스마트 트렁크,,,수동 온도조절,"버튼시동 ,
원격시동",,USB,,,"전자식 ,
오토홀드","터치스크린 ,
음성인식 ,
애플 카플레이 ,
안드로이드 오토"
기아,K5,2024년형 LPG 2.0 (렌터카/장애인용),중형,장애인용 프레스티지 왼손오른발장애 (A/T),27080000,"4,905 mm","1,860 mm","1,445 mm","2,850 mm","1,623 mm","1,630 mm",,,"앞면 ,
앞좌석",,직렬 4기통,1999.0,"146/6,000 ps/rpm","19.5/4,200 kg.m/rpm",,,저공해 3종,LPG,,133.0,,,,,,,,,4 등급,9.8,11.8,8.5,,,,,,,CC (정속 주행),자동 6단,FF,,,,,215/55R,215/55R,17 인치,17 인치,"전방감지 ,
후방감지 ,
후방카메라","ABS ,
전방 추돌 경고 ,
전방 자동 긴급제동 ,
차선 이탈 경고 ,
경사로 밀림 방지 ,
부주의 운전 경보 ,
타이어 공기압 경고 ,
차선 이탈 방지 보조",보행자 인식 긴급제동,,"운전석 ,
동승석 ,
사이드 (앞) ,
사이드 (뒤) ,
커튼",,,자동디밍,LED,"오토 라이트 컨트롤 ,
오토 하이빔",LED,벌브형,,"전동접이 ,
전동조절 ,
열선 ,
방향지시등","내비게이션 ,
라디오 ,
DMB 수신 ,
텔레매틱스 ,
오디오 파일 재생 ,
블루투스",5.0,2 + 3,인조가죽,"열선 ,
통풍","열선 ,
통풍",2열,,,디지털,"틸트 ,
텔레스코픽",12.3 인치,,6.0,,,,,스마트 트렁크,,,수동 온도조절,"버튼시동 ,
원격시동",,USB,,,"전자식 ,
오토홀드","터치스크린 ,
음성인식 ,
애플 카플레이 ,
안드로이드 오토"
기아,K5,2024년형 LPG 2.0 (렌터카/장애인용),중형,장애인용 프레스티지 오른손오른발장애 (A/T),27080000,"4,905 mm","1,860 mm","1,445 mm","2,850 mm","1,623 mm","1,630 mm",,,"앞면 ,
앞좌석",,직렬 4기통,1999.0,"146/6,000 ps/rpm","19.5/4,200 kg.m/rpm",,,저공해 3종,LPG,,133.0,,,,,,,,,4 등급,9.8,11.8,8.5,,,,,,,CC (정속 주행),자동 6단,FF,,,,,215/55R,215/55R,17 인치,17 인치,"전방감지 ,
후방감지 ,
후방카메라","ABS ,
전방 추돌 경고 ,
전방 자동 긴급제동 ,
차선 이탈 경고 ,
경사로 밀림 방지 ,
부주의 운전 경보 ,
타이어 공기압 경고 ,
차선 이탈 방지 보조",보행자 인식 긴급제동,,"운전석 ,
동승석 ,
사이드 (앞) ,
사이드 (뒤) ,
커튼",,,자동디밍,LED,"오토 라이트 컨트롤 ,
오토 하이빔",LED,벌브형,,"전동접이 ,
전동조절 ,
열선 ,
방향지시등","내비게이션 ,
라디오 ,
DMB 수신 ,
텔레매틱스 ,
오디오 파일 재생 ,
블루투스",5.0,2 + 3,인조가죽,"열선 ,
통풍","열선 ,
통풍",2열,,,디지털,"틸트 ,
텔레스코픽",12.3 인치,,6.0,,,,,스마트 트렁크,,,수동 온도조절,"버튼시동 ,
원격시동",,USB,,,"전자식 ,
오토홀드","터치스크린 ,
음성인식 ,
애플 카플레이 ,
안드로이드 오토"
기아,K5,2024년형 LPG 2.0 (렌터카/장애인용),중형,장애인용 프레스티지 오른발장애 (A/T),27040000,"4,905 mm","1,860 mm","1,445 mm","2,850 mm","1,623 mm","1,630 mm",,,"앞면 ,
앞좌석",,직렬 4기통,1999.0,"146/6,000 ps/rpm","19.5/4,200 kg.m/rpm",,,저공해 3종,LPG,,133.0,,,,,,,,,4 등급,9.8,11.8,8.5,,,,,,,CC (정속 주행),자동 6단,FF,,,,,215/55R,215/55R,17 인치,17 인치,"전방감지 ,
후방감지 ,
후방카메라","ABS ,
전방 추돌 경고 ,
전방 자동 긴급제동 ,
차선 이탈 경고 ,
경사로 밀림 방지 ,
부주의 운전 경보 ,
타이어 공기압 경고 ,
차선 이탈 방지 보조",보행자 인식 긴급제동,,"운전석 ,
동승석 ,
사이드 (앞) ,
사이드 (뒤) ,
커튼",,,자동디밍,LED,"오토 라이트 컨트롤 ,
오토 하이빔",LED,벌브형,,"전동접이 ,
전동조절 ,
열선 ,
방향지시등","내비게이션 ,
라디오 ,
DMB 수신 ,
텔레매틱스 ,
오디오 파일 재생 ,
블루투스",5.0,2 + 3,인조가죽,"열선 ,
통풍","열선 ,
통풍",2열,,,디지털,"틸트 ,
텔레스코픽",12.3 인치,,6.0,,,,,스마트 트렁크,,,수동 온도조절,"버튼시동 ,
원격시동",,USB,,,"전자식 ,
오토홀드","터치스크린 ,
음성인식 ,
애플 카플레이 ,
안드로이드 오토"
기아,K5,2024년형 LPG 2.0 (렌터카/장애인용),중형,장애인용 프레스티지 양발장애 (A/T),27390000,"4,905 mm","1,860 mm","1,445 mm","2,850 mm","1,623 mm","1,630 mm",,,"앞면 ,
앞좌석",,직렬 4기통,1999.0,"146/6,000 ps/rpm","19.5/4,200 kg.m/rpm",,,저공해 3종,LPG,,133.0,,,,,,,,,4 등급,9.8,11.8,8.5,,,,,,,CC (정속 주행),자동 6단,FF,,,,,215/55R,215/55R,17 인치,17 인치,"전방감지 ,
후방감지 ,
후방카메라","ABS ,
전방 추돌 경고 ,
전방 자동 긴급제동 ,
차선 이탈 경고 ,
경사로 밀림 방지 ,
부주의 운전 경보 ,
타이어 공기압 경고 ,
차선 이탈 방지 보조",보행자 인식 긴급제동,,"운전석 ,
동승석 ,
사이드 (앞) ,
사이드 (뒤) ,
커튼",,,자동디밍,LED,"오토 라이트 컨트롤 ,
오토 하이빔",LED,벌브형,,"전동접이 ,
전동조절 ,
열선 ,
방향지시등","내비게이션 ,
라디오 ,
DMB 수신 ,
텔레매틱스 ,
오디오 파일 재생 ,
블루투스",5.0,2 + 3,인조가죽,"열선 ,
통풍","열선 ,
통풍",2열,,,디지털,,12.3 인치,,6.0,,,,,스마트 트렁크,,,수동 온도조절,"버튼시동 ,
원격시동",,USB,,,"전자식 ,
오토홀드","터치스크린 ,
음성인식 ,
애플 카플레이 ,
안드로이드 오토"
기아,K5,2024년형 LPG 2.0 (렌터카/장애인용),중형,장애인용 프레스티지 오른손장애 (A/T),27130000,"4,905 mm","1,860 mm","1,445 mm","2,850 mm","1,623 mm","1,630 mm",,,"앞면 ,
앞좌석",,직렬 4기통,1999.0,"146/6,000 ps/rpm","19.5/4,200 kg.m/rpm",,,저공해 3종,LPG,,133.0,,,,,,,,,4 등급,9.8,11.8,8.5,,,,,,,CC (정속 주행),자동 6단,FF,,,,,215/55R,215/55R,17 인치,17 인치,"전방감지 ,
후방감지 ,
후방카메라","ABS ,
전방 추돌 경고 ,
전방 자동 긴급제동 ,
차선 이탈 경고 ,
경사로 밀림 방지 ,
부주의 운전 경보 ,
타이어 공기압 경고 ,
차선 이탈 방지 보조",보행자 인식 긴급제동,,"운전석 ,
동승석 ,
운전석 무릎 ,
사이드 (앞) ,
사이드 (뒤) ,
커튼",,,자동디밍,LED,"오토 라이트 컨트롤 ,
오토 하이빔",LED,벌브형,,"전동접이 ,
전동조절 ,
열선 ,
방향지시등","내비게이션 ,
라디오 ,
DMB 수신 ,
텔레매틱스 ,
오디오 파일 재생 ,
블루투스",5.0,2 + 3,인조가죽,"열선 ,
통풍","열선 ,
통풍",2열,,,디지털,"틸트 ,
텔레스코픽",12.3 인치,,6.0,,,,,스마트 트렁크,,,수동 온도조절,"버튼시동 ,
원격시동",,USB,,,"전자식 ,
오토홀드","터치스크린 ,
음성인식 ,
애플 카플레이 ,
안드로이드 오토"
기아,K5,2024년형 LPG 2.0 (렌터카/장애인용),중형,장애인용 노블레스 왼손왼발장애 (A/T),30460000,"4,905 mm","1,860 mm","1,445 mm","2,850 mm","1,623 mm","1,630 mm",,,"앞면 ,
앞좌석",,직렬 4기통,1999.0,"146/6,000 ps/rpm","19.5/4,200 kg.m/rpm",,,저공해 3종,LPG,,133.0,,,,,,,,,4 등급,9.8,11.8,8.5,,,,,,,"CC (정지, 재출발) ,
고속도로 주행 보조",자동 6단,FF,,,,,215/55R,215/55R,17 인치,17 인치,"전방감지 ,
후방감지 ,
측면감지 ,
후방카메라 ,
측면카메라 ,
어라운드 뷰 ,
조향연동 안내선 ,
자동주차보조","ABS ,
전방 추돌 경고 ,
전방 자동 긴급제동 ,
차선 이탈 경고 ,
경사로 밀림 방지 ,
부주의 운전 경보 ,
타이어 공기압 경고 ,
차선 이탈 방지 보조",보행자 인식 긴급제동,,"운전석 ,
동승석 ,
운전석 무릎 ,
사이드 (앞) ,
사이드 (뒤) ,
커튼",,,"자동디밍 ,
하이패스 내장",LED,"오토 라이트 컨트롤 ,
오토 하이빔",LED,LED,,"전동접이 ,
전동조절 ,
열선 ,
방향지시등","내비게이션 ,
라디오 ,
DMB 수신 ,
텔레매틱스 ,
오디오 파일 재생 ,
블루투스",5.0,2 + 3,인조가죽,"열선 ,
통풍 ,
전동조절 ,
워크인 스위치 ,
요추받침","열선 ,
통풍 ,
전동조절 ,
요추받침",2열,,,디지털,"가죽 ,
틸트 ,
텔레스코픽",12.3 인치,,6.0,,,,,스마트 트렁크,,,"자동 온도조절 ,
자동 성에제거","버튼시동 ,
원격시동 ,
스마트폰 디지털키",전방 레인센서,"USB ,
스마트폰 무선 충전",2 존,,"전자식 ,
오토홀드","터치스크린 ,
음성인식 ,
애플 카플레이 ,
안드로이드 오토"
기아,K5,2024년형 LPG 2.0 (렌터카/장애인용),중형,장애인용 노블레스 왼손오른발장애 (A/T),30410000,"4,905 mm","1,860 mm","1,445 mm","2,850 mm","1,623 mm","1,630 mm",,,"앞면 ,
앞좌석",,직렬 4기통,1999.0,"146/6,000 ps/rpm","19.5/4,200 kg.m/rpm",,,저공해 3종,LPG,,133.0,,,,,,,,,4 등급,9.8,11.8,8.5,,,,,,,"CC (정지, 재출발) ,
고속도로 주행 보조",자동 6단,FF,,,,,215/55R,215/55R,17 인치,17 인치,"전방감지 ,
후방감지 ,
측면감지 ,
후방카메라 ,
측면카메라 ,
어라운드 뷰 ,
조향연동 안내선 ,
자동주차보조","ABS ,
전방 추돌 경고 ,
전방 자동 긴급제동 ,
차선 이탈 경고 ,
경사로 밀림 방지 ,
부주의 운전 경보 ,
타이어 공기압 경고 ,
차선 이탈 방지 보조",보행자 인식 긴급제동,,"운전석 ,
동승석 ,
사이드 (앞) ,
사이드 (뒤) ,
커튼",,,"자동디밍 ,
하이패스 내장",LED,"오토 라이트 컨트롤 ,
오토 하이빔",LED,LED,,"전동접이 ,
전동조절 ,
열선 ,
방향지시등","내비게이션 ,
라디오 ,
DMB 수신 ,
텔레매틱스 ,
오디오 파일 재생 ,
블루투스",5.0,2 + 3,인조가죽,"열선 ,
통풍 ,
전동조절 ,
워크인 스위치 ,
요추받침","열선 ,
통풍 ,
전동조절 ,
요추받침",2열,,,디지털,"가죽 ,
틸트 ,
텔레스코픽",12.3 인치,,6.0,,,,,스마트 트렁크,,,"자동 온도조절 ,
자동 성에제거","버튼시동 ,
원격시동 ,
스마트폰 디지털키",전방 레인센서,"USB ,
스마트폰 무선 충전",2 존,,"전자식 ,
오토홀드","터치스크린 ,
음성인식 ,
애플 카플레이 ,
안드로이드 오토"
