도,시,차종,제조사,모델명,국가보조금,지자체보조금
서울,서울특별시,일반승용,현대자동차,Electrified G80 AWD 19인치,310.0,71.0
서울,서울특별시,일반승용,현대자동차,GV60 스탠다드 2WD 19인치,325.0,75.0
서울,서울특별시,일반승용,현대자동차,GV60 스탠다드 AWD 19인치,310.0,71.0
서울,서울특별시,일반승용,현대자동차,GV60 스탠다드 AWD 20인치,300.0,69.0
서울,서울특별시,일반승용,현대자동차,GV60 퍼포먼스 AWD 21인치,285.0,65.0
서울,서울특별시,일반승용,현대자동차,Electrified GV70 AWD 20인치,295.0,68.0
서울,서울특별시,일반승용,현대자동차,Electrified GV70 AWD 19인치,310.0,71.0
서울,서울특별시,일반승용,현대자동차,아이오닉5 2WD 롱레인지 19인치,690.0,150.0
서울,서울특별시,일반승용,현대자동차,아이오닉5 2WD 롱레인지 19인치 빌트인 캠 미적용,690.0,150.0
서울,서울특별시,일반승용,현대자동차,아이오닉5 2WD 롱레인지 20인치,673.0,146.0
서울,서울특별시,일반승용,현대자동차,아이오닉5 AWD 롱레인지 19인치,673.0,146.0
서울,서울특별시,일반승용,현대자동차,아이오닉5 AWD 롱레인지 20인치,645.0,139.0
서울,서울특별시,일반승용,현대자동차,아이오닉5 2WD 스탠다드 19인치,630.0,136.0
서울,서울특별시,일반승용,현대자동차,아이오닉5 AWD 스탠다드 19인치,606.0,130.0
서울,서울특별시,일반승용,현대자동차,아이오닉6 스탠다드 2WD 18인치,719.0,148.0
서울,서울특별시,일반승용,현대자동차,아이오닉6 롱레인지 2WD 18인치,726.0,150.0
서울,서울특별시,일반승용,현대자동차,아이오닉6 롱레인지 2WD 20인치,726.0,150.0
서울,서울특별시,일반승용,현대자동차,아이오닉6 롱레인지 AWD 18인치,726.0,150.0
서울,서울특별시,일반승용,현대자동차,아이오닉6 롱레인지 AWD 20인치,707.0,145.0
서울,서울특별시,일반승용,현대자동차,코나 일렉트릭 2WD 스탠다드 17인치,593.0,129.0
서울,서울특별시,일반승용,현대자동차,코나 일렉트릭 2WD 롱레인지 17인치,651.0,142.0
서울,서울특별시,일반승용,현대자동차,코나 일렉트릭 2WD 롱레인지 19인치,601.0,131.0
서울,서울특별시,일반승용,현대자동차,아이오닉5 N,280.0,64.0
서울,서울특별시,일반승용,현대자동차,더뉴아이오닉5 2WD 19인치 빌트인 캠 미적용,650.0,150.0
서울,서울특별시,일반승용,현대자동차,더뉴아이오닉5 2WD 롱레인지 19인치,650.0,150.0
서울,서울특별시,일반승용,현대자동차,더뉴아이오닉5 2WD 롱레인지 20인치,643.0,148.0
서울,서울특별시,일반승용,현대자동차,더뉴아이오닉5 AWD 롱레인지 20인치,624.0,144.0
서울,서울특별시,일반승용,현대자동차,더뉴아이오닉5 AWD 롱레인지 19인치,636.0,146.0
서울,서울특별시,일반승용,현대자동차,더뉴아이오닉5 2WD 롱레인지 N라인 20인치,611.0,141.0
서울,서울특별시,일반승용,현대자동차,더뉴아이오닉5 AWD 롱레인지 N라인 20인치,611.0,141.0
서울,서울특별시,일반승용,기아,EV6 스탠다드 2WD 19인치,675.0,143.0
서울,서울특별시,일반승용,기아,EV6 롱레인지 2WD 20인치,683.0,144.0
서울,서울특별시,일반승용,기아,EV6 롱레인지 4WD 20인치,661.0,139.0
서울,서울특별시,일반승용,기아,EV6 롱레인지 2WD 19인치,684.0,145.0
서울,서울특별시,일반승용,기아,EV6 롱레인지 4WD 19인치,684.0,145.0
서울,서울특별시,일반승용,기아,EV6 스탠다드 4WD 19인치,649.0,137.0
서울,서울특별시,일반승용,기아,니로 플러스(DP),592.0,136.0
서울,서울특별시,일반승용,기아,The all-new Kia Niro EV(24MY),627.0,133.0
서울,서울특별시,일반승용,기아,The all-new Kia Niro EV(25MY),596.0,133.0
서울,서울특별시,일반승용,기아,EV6 GT,267.0,61.0
서울,서울특별시,일반승용,기아,EV9 2WD 19인치,301.0,69.0
서울,서울특별시,일반승용,기아,EV9 2WD 20인치,298.0,68.0
서울,서울특별시,일반승용,기아,EV9 4WD 19인치,287.0,66.0
서울,서울특별시,일반승용,기아,EV9 4WD 21인치,291.0,67.0
서울,서울특별시,일반승용,기아,EV9 GTL 4WD 21인치,286.0,66.0
서울,서울특별시,일반승용,기아,더뉴EV6 롱레인지 4WD 20인치,606.0,139.0
서울,서울특별시,일반승용,기아,더뉴EV6 롱레인지 2WD 20인치,623.0,143.0
서울,서울특별시,일반승용,기아,더뉴EV6 롱레인지 4WD 19인치,625.0,144.0
서울,서울특별시,일반승용,기아,더뉴EV6 롱레인지 2WD 19인치,630.0,145.0
서울,서울특별시,일반승용,기아,EV3 롱레인지 2WD 17인치,622.0,143.0
서울,서울특별시,일반승용,기아,EV3 롱레인지 2WD 19인치,622.0,143.0
서울,서울특별시,일반승용,기아,EV3 스탠다드 2WD,573.0,132.0
서울,서울특별시,일반승용,BMW,iX3 M Sport,205.0,47.0
서울,서울특별시,일반승용,BMW,i4 eDrive40,212.0,48.0
서울,서울특별시,일반승용,BMW,i4 M50,198.0,45.0
서울,서울특별시,일반승용,BMW,iX1 xDrive30,184.0,42.0
서울,서울특별시,일반승용,테슬라코리아,Model Y RWD(2023),210.0,48.0
서울,서울특별시,일반승용,테슬라코리아,Model 3 RWD,226.0,52.0
서울,서울특별시,일반승용,테슬라코리아,Model 3 Long Range,235.0,54.0
